Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Indianapolis Colts,IND,DST,16,40,2.5,15,0.94,10,0.62,11,0.69,3,0.19,4,0.25,2,0.12,145.0,9.06,9.5,6.74,8.74,2,3,1,5,5,1.67,0.45,9.25,145.0,9.06,9.5,6.74,8.74,2,2,2,6,4,1.67,0.33,9.13,145.0,9.06,9.5,6.74,8.74,2,3,1,5,5,1.67,0.45,9.25
Los Angeles Rams,LAR,DST,16,53,3.31,14,0.88,8,0.5,12,0.75,1,0.06,4,0.25,0,0.0,151.0,9.44,9.0,6.28,9.26,2,3,3,2,6,1.0,0.6,8.98,151.0,9.44,9.0,6.28,9.26,2,3,3,2,6,1.0,0.6,8.98,151.0,9.44,9.0,6.28,9.26,2,4,2,2,6,1.0,0.6,8.98
Miami Dolphins,MIA,DST,16,41,2.56,18,1.12,10,0.62,14,0.88,0,0.0,2,0.12,1,0.06,141.0,8.81,8.5,6.0,8.75,4,2,1,4,5,1.29,0.45,8.63,141.0,8.81,8.5,6.0,8.75,4,2,1,3,6,1.29,0.6,8.77,141.0,8.81,8.5,6.0,8.75,4,0,3,4,5,1.29,0.45,8.63
Pittsburgh Steelers,PIT,DST,17,56,3.29,18,1.06,9,0.53,12,0.71,1,0.06,3,0.18,0,0.0,148.0,8.71,8.0,5.77,8.73,4,1,3,3,6,1.12,0.55,8.41,148.0,8.71,8.0,5.77,8.73,4,1,3,3,6,1.12,0.55,8.41,148.0,8.71,8.0,5.77,8.73,4,1,3,3,6,1.12,0.55,8.41
Baltimore Ravens,BAL,DST,16,39,2.44,10,0.62,12,0.75,22,1.38,2,0.12,3,0.19,1,0.06,141.0,8.81,7.5,6.53,8.57,3,2,3,4,4,1.0,0.33,7.84,141.0,8.81,7.5,6.53,8.57,3,2,3,4,4,1.0,0.33,7.84,141.0,8.81,7.5,6.53,8.57,3,2,3,4,4,1.0,0.33,7.84
New Orleans Saints,NO,DST,16,45,2.81,18,1.12,8,0.5,6,0.38,1,0.06,1,0.06,0,0.0,126.0,7.88,6.5,6.73,7.6,5,2,3,0,6,0.6,0.6,7.0,126.0,7.88,6.5,6.73,7.6,6,1,3,0,6,0.6,0.6,7.0,126.0,7.88,6.5,6.73,7.6,5,2,3,0,6,0.6,0.6,7.0
Buffalo Bills,BUF,DST,16,38,2.38,15,0.94,11,0.69,14,0.88,0,0.0,3,0.19,1,0.06,118.0,7.38,6.0,5.81,7.38,3,3,4,2,4,0.6,0.33,6.45,118.0,7.38,6.0,5.81,7.38,3,2,5,2,4,0.6,0.33,6.45,118.0,7.38,6.0,5.81,7.38,3,2,5,2,4,0.6,0.33,6.45
Arizona Cardinals,ARI,DST,16,48,3.0,11,0.69,10,0.62,12,0.75,1,0.06,0,0.0,0,0.0,110.0,6.88,6.5,4.8,7.22,5,1,4,4,2,0.6,0.14,6.36,110.0,6.88,6.5,4.8,7.22,5,1,4,4,2,0.6,0.14,6.36,110.0,6.88,6.5,4.8,7.22,5,1,4,4,2,0.6,0.14,6.36
Tampa Bay Buccaneers,TB,DST,16,48,3.0,15,0.94,10,0.62,15,0.94,1,0.06,1,0.06,0,0.0,119.0,7.44,6.0,5.6,7.51,3,3,5,2,3,0.45,0.23,6.25,119.0,7.44,6.0,5.6,7.51,3,3,5,1,4,0.45,0.33,6.36,119.0,7.44,6.0,5.6,7.51,3,3,5,2,3,0.45,0.23,6.25
Seattle Seahawks,SEA,DST,16,46,2.88,14,0.88,8,0.5,12,0.75,3,0.19,0,0.0,0,0.0,105.0,6.56,6.5,3.18,7.64,3,1,6,5,1,0.6,0.07,6.43,105.0,6.56,6.5,3.18,7.64,3,4,3,6,0,0.6,0.0,6.33,105.0,6.56,6.5,3.18,7.64,3,3,4,5,1,0.6,0.07,6.43
